"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
240,"NCT03313297","Glucocorticoids and Skin Healing in Diabetes (GC-SHealD)","GC-SHealD","Completed","No Results Available","Diabetes Mellitus, Type 2","Drug: AZD4017|Drug: Placebo","Skin 11β-HSD1 activity|Urinary cortisol / cortisone metabolites|AZD4017 in plasma|AZD4017 in skin|Discontinuation due to Adverse Event|Body mass index|Waist-hip ratio|Blood pressure (sphygmomanometer)|Sudomotor function|Skin hydration|Epidermal barrier function|Epidermal barrier integrity|Skin thickness|Wound healing|Skin RNA-seq gene expression profiling","University of Leeds","All","18 Years and older   (Adult, Older Adult)","Phase 2","28","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ED17/93260","April 10, 2018","February 27, 2019","March 13, 2019","October 18, 2017",,"March 22, 2019","Leeds Teaching Hospitals Trust, Leeds, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03313297"
241,"NCT03111992","Study of Single Agent CJM112, and PDR001 in Combination With LCL161 or CJM112 in Patients With Multiple Myeloma",,"Completed","No Results Available","Multiple Myeloma","Drug: PDR001|Drug: CJM112|Drug: LCL161","Number of patients reporting dose limiting toxicities|The number of patients who experience a treatment-related adverse event after being treated with a single dose of single agent CJM112, or two doses of PDR001 in combination with CJM112 or LCL161|The number of patients requiring interruptions after a single dose of single agent CJM112, or two doses of PDR001 in combination with CJM112 or LCL161|The number of patients treated with single agent CJM112, or PDR001 in combination with either CJM112 or LCL161, who discontinued treatment|The number of patients requiring a dose reduction after a single dose of single agent CJM112, or two doses of PDR001 in combination with CJM112 or LCL161|Immunogenicity of PDR001 and CJM112|Overall Response Rate (ORR)|Best Overall Response (BOR)|Progression Free Survival (PFS)|Disease Control Rate (DCR)|AUC of PDR001, CJM112 and LCL161|Cmax of PDR001, CJM112 and LCL161|Tmax of PDR001, CJM112 and LCL161|Half-life of PDR001, CJM112 and LCL161|Concentration vs time profile of PDR001, CJM112 and LCL161","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 1","26","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CPDR001X2106","December 18, 2017","March 2, 2020","March 2, 2020","April 13, 2017",,"February 9, 2022","Mayo Clinic Arizona, Phoenix, Arizona, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|Novartis Investigative Site, Freiburg, Germany|Novartis Investigative Site, Heidelberg, Germany|Novartis Investigative Site, Kiel, Germany|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Salamanca, Castilla Y Leon, Spain|Novartis Investigative Site, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT03111992"
242,"NCT04247815","Study of ATI-450 Plus Methotrexate (MTX) vs MTX Alone in Patients With Moderate to Severe RA",,"Completed","No Results Available","Rheumatoid Arthritis","Drug: ATI-450|Drug: Placebo oral tablet|Drug: Methotrexate","The primary outcome measure is the determination of the safety and tolerability of ATI-450 plus Methotrexate in patients with moderate to severe rheumatoid arthritis: Adverse Events (AEs)|Percent change in high sensitivity C-reactive protein (hsCRP) levels|Change from baseline in Disease Activity Score|Change from baseline in Rheumatoid Arthritis Magnetic Resonance Imaging Score (RAMRIS) Hand-Wrist Assessments|Proportion of patients with American College of Rheumatology (ACR) 20/50/70","Aclaris Therapeutics, Inc.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","19","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ATI-450-RA-201","March 16, 2020","February 4, 2021","February 4, 2021","January 30, 2020",,"March 25, 2021","Aclaris Investigational Site, Anniston, Alabama, United States|Aclaris Investigational Site, Tampa, Florida, United States|Aclaris Investigational Site, Atlanta, Georgia, United States|Aclaris Investigational Site, Duncansville, Pennsylvania, United States|Aclaris Investigational Site, Mesquite, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04247815"
243,"NCT00553358","Neo ALTTO (Neoadjuvant Lapatinib and/or Trastuzumab Treatment Optimisation) Study","Neo ALTTO","Completed","Has Results","Neoplasms, Breast","Drug: Lapatinib|Biological: Trastuzumab|Drug: Paclitaxel","Number of Participants With Pathological Complete Response (pCR) at the Time of Surgery|Number of Participants With Overall Response at Week 6|Overall Response at the Time of Surgery|Number of Participants With Negative Lymph Nodes at the Time of Surgery|Number of Participants With Actual Indicated Surgery|Mean Change From Baseline in Tumor Size at Week 6 and at Surgery|Number of Participants Starting Paclitaxel Before Completing 6 Weeks of Treatment With Either Lapatinib or Trastuzumab|Event-free Survival (EFS) - Median Clinical Follow-up|Event-free Survival (EFS) - Events and Censoring|Overall Survival (OS) - Median Survival Follow-up|Overall Survival (OS) - Deaths and Censoring|Assess Associations Between Locoregional Pathological Complete Response (pCR) and Event-free Survival (EFS) - Median Clinical Follow-up (EFS Landmark Population)|Assess Associations Between Locoregional Pathological Complete Response (pCR) and Event-free Survival (EFS) - Number of Participants With EFS Events (EFS Landmark Population)|Assess Associations Between Locoregional Pathological Complete Response (pCR) and and Overall Survival (OS) - Median Clinical Follow-up (OS Landmark Population)|Assess Associations Between Locoregional Pathological Complete Response (pCR) and and Overall Survival (OS) - Number of Participants Who Died (OS Landmark Population)|To Assess Safety Via a Comparison of the Three Treatment Arms - to Measure On-treatment Primary Cardiac Endpoints|Metabolic Response Rate Determined by Positron Emission Tomography/Computed Tomography (PET/CT)|Percentage of Participants With the Indicated Biomarker Expression - PIK3CA.|Percentage of Participants With the Indicated Biomarker Expression - PTEN.|Ratio (95% CI) of Geometric Means in p95HER2 Expression in HR Positive Patients With pCR vs no pCR|Percentage of Participants With Circulating Tumor Cells (CTC) in the Bloodstream","Novartis Pharmaceuticals|Breast International Group|SOLTI Breast Cancer Research Group|Novartis","Female","18 Years and older   (Adult, Older Adult)","Phase 3","455","Industry|Other","Interventional","Allocation: Randomized|Masking: None (Open Label)|Primary Purpose: Treatment","EGF106903|2006-000564-81|CLAP016B2302","January 5, 2008","May 27, 2010","December 23, 2019","November 4, 2007","October 13, 2011","September 21, 2021","Novartis Investigative Site, Berazategui, Buenos Aires, Argentina|Novartis Investigative Site, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Novartis Investigative Site, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Novartis Investigative Site, Rosario, Santa Fe, Argentina|Novartis Investigative Site, Quilmes, Argentina|Novartis Investigative Site, Santa Fe, Argentina|Novartis Investigative Site, Tucuman, Argentina|Novartis Investigative Site, Brussels, Belgium|Novartis Investigative Site, Brussel, Belgium|Novartis Investigative Site, Bruxelles, Belgium|Novartis Investigative Site, Gent, Belgium|Novartis Investigative Site, Leuven, Belgium|Novartis Investigative Site, Namur, Belgium|Novartis Investigative Site, Porto Alegre, Rio Grande Do Sul, Brazil|Novartis Investigative Site, Porto Alegre, Rio Grande Do Sul, Brazil|Novartis Investigative Site, Santo Andre, São Paulo, Brazil|Novartis Investigative Site, Sao Paulo, São Paulo, Brazil|Novartis Investigative Site, Montreal, Quebec, Canada|Novartis Investigative Site, Brno, Czechia|Novartis Investigative Site, Novy Jicin, Czechia|Novartis Investigative Site, Praha 10, Czechia|Novartis Investigative Site, Bayonne, France|Novartis Investigative Site, Bordeaux, France|Novartis Investigative Site, Le Mans, France|Novartis Investigative Site, Levallois-Perret, France|Novartis Investigative Site, Paris, France|Novartis Investigative Site, Reims, France|Novartis Investigative Site, Strasbourg, France|Novartis Investigative Site, Strasbourg, France|Novartis Investigative Site, Toulouse, France|Novartis Investigative Site, Villejuif Cedex, France|Novartis Investigative Site, Freiburg, Baden-Wuerttemberg, Germany|Novartis Investigative Site, Karlsruhe, Baden-Wuerttemberg, Germany|Novartis Investigative Site, Fuerth, Bayern, Germany|Novartis Investigative Site, Nuernberg, Bayern, Germany|Novartis Investigative Site, Fuerstenwalde, Brandenburg, Germany|Novartis Investigative Site, Frankfurt am Main, Hessen, Germany|Novartis Investigative Site, Rostock, Mecklenburg-Vorpommern, Germany|Novartis Investigative Site, Stralsund, Mecklenburg-Vorpommern, Germany|Novartis Investigative Site, Celle, Niedersachsen, Germany|Novartis Investigative Site, Hannover, Niedersachsen, Germany|Novartis Investigative Site, Dortmund, Nordrhein-Westfalen, Germany|Novartis Investigative Site, Essen, Nordrhein-Westfalen, Germany|Novartis Investigative Site, Koeln, Nordrhein-Westfalen, Germany|Novartis Investigative Site, Witten, Nordrhein-Westfalen, Germany|Novartis Investigative Site, Halle, Sachsen-Anhalt, Germany|Novartis Investigative Site, Kiel, Schleswig-Holstein, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Hong Kong, Hong Kong|Novartis Investigative Site, Kowloon, Hong Kong|Novartis Investigative Site, Wanchai, Hong Kong|Novartis Investigative Site, Budapest, Hungary|Novartis Investigative Site, Bangalore, India|Novartis Investigative Site, Hyderabad, India|Novartis Investigative Site, Mumbai, India|Novartis Investigative Site, Nagpur, India|Novartis Investigative Site, New Delhi, India|Novartis Investigative Site, New Delhi, India|Novartis Investigative Site, Pune, India|Novartis Investigative Site, Roma, Lazio, Italy|Novartis Investigative Site, Genova, Liguria, Italy|Novartis Investigative Site, Lecco, Lombardia, Italy|Novartis Investigative Site, Milano, Lombardia, Italy|Novartis Investigative Site, Milano, Lombardia, Italy|Novartis Investigative Site, Monza, Lombardia, Italy|Novartis Investigative Site, Sondrio, Lombardia, Italy|Novartis Investigative Site, Trento, Trentino-Alto Adige, Italy|Novartis Investigative Site, Seoul, Korea, Republic of|Novartis Investigative Site, Seoul, Korea, Republic of|Novartis Investigative Site, Seoul, Korea, Republic of|Novartis Investigative Site, Seoul, Korea, Republic of|Novartis Investigative Site, Songpa-gu, Seoul, Korea, Republic of|Novartis Investigative Site, Vilnius, Lithuania|Novartis Investigative Site, Oslo, Norway|Novartis Investigative Site, Oslo, Norway|Novartis Investigative Site, Karachi, Pakistan|Novartis Investigative Site, Lima, Peru|Novartis Investigative Site, Lima, Peru|Novartis Investigative Site, Bucharest, Romania|Novartis Investigative Site, Bucharest, Romania|Novartis Investigative Site, Bucuresti, Romania|Novartis Investigative Site, Cluj-Napoca, Romania|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Ryazan, Russian Federation|Novartis Investigative Site, St. Petersburg, Russian Federation|Novartis Investigative Site, St. Petersburg, Russian Federation|Novartis Investigative Site, Pretoria, Gauteng, South Africa|Novartis Investigative Site, Athlone Park, Amanzimtoti, South Africa|Novartis Investigative Site, Capital Park, South Africa|Novartis Investigative Site, Parktown, South Africa|Novartis Investigative Site, Barcelona, Spain|Novartis Investigative Site, Girona, Spain|Novartis Investigative Site, Lerida, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Mataro, Spain|Novartis Investigative Site, Santiago de Compostela, Spain|Novartis Investigative Site, Sevilla, Spain|Novartis Investigative Site, Toledo, Spain|Novartis Investigative Site, Torrevieja (Alicante), Spain|Novartis Investigative Site, Valencia, Spain|Novartis Investigative Site, Goteborg, Sweden|Novartis Investigative Site, Changhua, Taiwan|Novartis Investigative Site, Tainan, Taiwan|Novartis Investigative Site, Taipei, Taiwan|Novartis Investigative Site, Taipei, Taiwan|Novartis Investigative Site, Taipei, Taiwan|Novartis Investigative Site, Chernivtsi, Ukraine|Novartis Investigative Site, Dnipropetrovsk, Ukraine|Novartis Investigative Site, Kharkiv, Ukraine|Novartis Investigative Site, Kiev, Ukraine|Novartis Investigative Site, Krivoy Rog, Ukraine|Novartis Investigative Site, Kyiv, Ukraine|Novartis Investigative Site, Lviv, Ukraine|Novartis Investigative Site, Odessa, Ukraine|Novartis Investigative Site, Simferopol, Ukraine|Novartis Investigative Site, Epping, Essex, United Kingdom|Novartis Investigative Site, Bournemouth, United Kingdom|Novartis Investigative Site, London, United Kingdom|Novartis Investigative Site, London, United Kingdom|Novartis Investigative Site, Nottingham, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00553358"
244,"NCT02260661","Phase I, Dose Study to Look at the Safety and Pharmacokinetics of AZD8835 in Patients With Advanced Solid Tumours",,"Completed","No Results Available","Advanced Solid Malignancies|Breast Cancer - ER+, HER2 -|Breast Cancer - ER+, HER2-, PIK3CA Gene Mutation","Drug: AZD8835|Drug: AZD8835 in combination with fulvestrant","Determine the maximum tolerated dose (MTD) or recommended Phase II dose of oral AZD8835 as a single agent and in combination with fulvestrant|Establish the preliminary safety and tolerability profile of oral AZD8835 as a single agent and in combination with fulvestrant|To establish the pharmacokinetic profile of oral AZD8835 as a single agent and in combination with fulvestrant|To evaluate the preliminary efficacy and anti-tumor activity of oral AZD8835 as a single agent or in combination with fulvestrant|To evaluate the pharmacodynamic (PDc) effect of oral AZD8835 as a single agent and in combination with fulvestrant","AstraZeneca","All","18 Years to 130 Years   (Adult, Older Adult)","Phase 1","20","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D6140C00001","November 2014","July 2016","July 2016","October 9, 2014",,"October 10, 2016","Research Site, Denver, Colorado, United States|Research Site, Greenville, South Carolina, United States|Research Site, Nashville, Tennessee, United States|Research Site, Houston, Texas, United States|Research Site, Milwaukee, Wisconsin, United States|Research Site, Cambridge, United Kingdom|Sarah Cannon Research Institute, United Kingdom, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02260661"
245,"NCT03028766","WEE1 Inhibitor With Cisplatin and Radiotherapy: A Trial in Head and Neck Cancer","WISTERIA","Completed","No Results Available","Hypopharynx Squamous Cell Carcinoma|Oral Cavity Squamous Cell Carcinoma|Larynx Cancer","Drug: AZD1775|Drug: Cisplatin|Radiation: Radiotherapy","Recommended dose(s) of AZD1775|Safety profile of AZD1775 for Group A and Group B by reporting of all Adverse Events, Serious Adverse Events, Suspected Unexpected Adverse Reactions, deaths, deviations and withdrawal as assessed by the Safety Committee.|Disease-free survival in Groups A and B","University of Birmingham|AstraZeneca|Cancer Research UK","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","9","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RG_15-139|2015-003583-37|ISRCTN76291951","June 22, 2017","October 31, 2019","February 3, 2021","January 23, 2017",,"March 16, 2021","University Hospital Birmingham Nhs Foundation Trust, Birmingham, West Midlands, United Kingdom|Beatson West of Scotland Cancer Centre, Glasgow, United Kingdom|St. James' University Hospital, Leeds Teaching Hospital NHS Trust, Leeds, United Kingdom|The Royal Marsden Hospital, London, United Kingdom|University College London Hospitals, London, United Kingdom|Clatterbridge Cancer Centre, Wirral, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03028766"
246,"NCT01937923","A Pre-Cellular Therapy Observational Study in Early Huntington's Disease","PRE-CELL","Completed","No Results Available","Huntington Disease",,"Rate of change from baseline in white matter volume on magnetic resonance imaging (MRI) brain scan.|Rate of change from baseline on the UHDRS total motor score|Rate of change from baseline on the Total Functional Capacity score","University of California, Davis","All","18 Years and older   (Adult, Older Adult)",,"29","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","455690|DR2A-05415","August 2013","July 2016","July 2016","September 10, 2013",,"November 1, 2016","UC Davis Medical Center, Clinical Research Center, Sacramento, California, United States",,"https://ClinicalTrials.gov/show/NCT01937923"
247,"NCT02807597","Real-time Intraoperative Breast Cancer Visualization for Margin Assessment",,"Completed","No Results Available","Breast Cancer|Cancer of the Breast","Drug: LS301|Device: Cancer Vision Goggles|Procedure: Surgery","Safety of LS301 in breast as measured by related adverse events (Phase I)|Optimal imaging dose of LS301 (Phase I)|Ability of LS301 to predict presence of positive margins around partial mastectomy (Phase II)","Washington University School of Medicine|Kingdom Capital","All","18 Years and older   (Adult, Older Adult)","Phase 1","11","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","201907135","February 18, 2020","January 26, 2022","January 26, 2022","June 21, 2016",,"February 22, 2022","Washington University School of Medicine, Saint Louis, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT02807597"
248,"NCT02512562","A Study to Evaluate the Effect of ACH-3102 and Simeprevir on AL-335 Pharmacokinetics in Healthy Volunteers",,"Completed","No Results Available","Chronic Hepatitis C","Drug: AL-335|Drug: ACH-3102|Drug: Simeprevir","Multiple dose PK Profile, Cmax and AUC: effect of ACH-3102 on AL-335 and metabolites|Multiple dose PK Profile, Cmax and AUC: effect of Simeprevir on AL-335 and metabolites|Multiple dose PK Profile, Cmax and AUC: effect of ACH-3102 and Simeprevir on AL-335 and metabolites|Safety Data: Composite number and frequency of treatment emergent adverse events, physical examination findings, abnormal vital signs, 12 lead ECG and abnormal clinical laboratory results|Steady-state PK Profile from Clast, t1/2, Tmax, Tlast, CL/F, Vz/F, λz: effect of AL-335 and ACH-3102 on Simeprevir|Steady-state PK Profile from Clast, t1/2, Tmax, Tlast, CL/F, Vz/F, λz: effect of AL-335 and Simeprevir on ACH-3102","Alios Biopharma Inc.|Alexion Pharmaceuticals","All","18 Years to 60 Years   (Adult)","Phase 1","32","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AL-335-602","July 31, 2015","August 31, 2015","August 31, 2015","July 31, 2015",,"October 16, 2019","Biotrial, Rennes, France",,"https://ClinicalTrials.gov/show/NCT02512562"
249,"NCT02341456","Phase Ib Study AZD1775 in Combination With Carboplatin and Paclitaxel in Adult Asian Patients With Solid Tumours",,"Completed","Has Results","Advanced Solid Tumours","Drug: AZD1775|Drug: Paclitaxel|Drug: carboplatin","Number of Patients With Treatment-Emergent Adverse Events|Number of Treatment-Emergent Adverse Events (TEAE)|Number of Patients With Treatment-Emergent Adverse Events During AZD1775 Monotherapy Cycle by System Organ Class and Preferred Term|Number of Patients With Clinically Important Changes in Haematology and Coagulation TEAEs by System Organ Class and Preferred Term|Number of Patients With Clinically Important Abnormalities in Clinical Chemistry by Preferred Term|Number of Patients With Clinically Important Abnormalities in Vital Signs by Preferred Term|Best Overall Response|Number of Patients With an Objective Response|Percentage of Patients With an Objective Response|Number of Patients With Clinical Benefit|Percentage of Patients With Clinical Benefit|Duration of Response|Peak Plasma Concentration (Cmax) of AZD1775 Following Single Dose Administration of AZD1775 Monotherapy|Time to Maximum Plasma Concentration (Tmax) of AZD1775 Following Single Dose Administration of AZD1775 Monotherapy|Area Under the Plasma Concentration-time Curve From Zero to the Time of the Last Measurable Concentration (AUC0-t) Following Single Dose Administration of AZD1775 Monotherapy|Plasma Concentration of AZD1775 8 Hours After Single Dose Administration (C8h) of AZD1775 Monotherapy|Peak Plasma Concentration (Cmax) of AZD1775 Following Oral Dose of AZD1775 in Combination With IV Infusion of Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Time to Maximum Plasma Concentration (Tmax) of AZD1775 Following Single Dose of AZD1775 in Combination With IV Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Area Under the Plasma Concentration-time Curve From Zero to the Time of the Last Measurable Concentration (AUC0-t) Following Single Dose of AZD1775 in Combination With IV Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Plasma Concentration of AZD1775 8 Hours After Single Dose Administration (C8h) of AZD1775 in Combination With IV Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Peak Plasma Concentration (Cmax) of AZD1775 at Steady State When Given in Combination With IV Infusion of Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Time to Maximum Plasma Concentration (Tmax) of AZD1775 at Steady State When Given in Combination With IV Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Area Under the Plasma Concentration-time Curve From Zero to the Time of the Last Measurable Concentration (AUC0-t) at Steady State for AZD1775 in Combination With IV Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Plasma Concentration of AZD1775 8 Hours After Administration (C8h) at Steady State in Combination With IV Paclitaxel and Carboplatin (Cohorts 1 and 2) or Carboplatin Alone (Cohort 1a)|Peak Plasma Concentration (Cmax) of Paclitaxel Following Single IV Infusion in Combination With Single Dose Oral AZD1775 and IV Carboplatin|Area Under the Plasma Concentration-time Curve (AUC0-t) of Paclitaxel Following Single IV Infusion in Combination With Single Dose Oral AZD1775 and IV Carboplatin|Plasma Concentration of Paclitaxel at the End of Infusion (Ceoi) When Given Combination With Oral AZD1775 and IV Carboplatin.|Time to Maximum Plasma Concentration (Tmax) of IV Paclitaxel When Given in Combination With Oral AZD1775 and IV Carboplatin|Time to Last Detectable Concentration (Tlast) of Paclitaxel When Given in Combination With Oral AZD1775 and IV Carboplatin|Peak Plasma Concentration (Cmax) of Platinum Following Single IV Infusion of Carboplatin Over 1 Hour in Combination With Single Oral Dose AZD1775 Alone (Cohort 1a) or With IV Paclitaxel (Cohorts 1 and 2)|Area Under Plasma Concentration-time Curve From 0 to Last Measurable Conc. (AUC0-t) of Platinum Following Single IV Infusion of Carboplatin Over 1 Hour in Combination With Single Oral Dose AZD1775 Alone (Cohort 1a) or With IV Paclitaxel (Cohorts 1 & 2)|Plasma Concentration of Platinum at the End of Infusion (Ceoi) When Given as a 1 Hour Infusion in Combination With Oral AZD1775 and IV Paclitaxel.|Time to Peak Plasma Concentration of Platinum (Tmax) When Given as a 1 Hour Infusion in Combination With Oral AZD1775 and IV Paclitaxel.|Time to Last Detectable Concentration of Platinum (Tlast) When Given as a 1 Hour Infusion in Combination With Oral AZD1775 and IV Paclitaxel.|Peak Plasma Concentration (Cmax) of Platinum Following Single IV Infusion of Carboplatin Over 2 Hours in Combination With Single Oral Dose AZD1775 Alone (Cohort 1a) or With IV Paclitaxel (Cohorts 1 and 2)|Area Under Plasma Concentration-time Curve From 0 to Last Measurable Conc. (AUC0-t) of Platinum Following Single IV Infusion of Carboplatin Over 2 Hours in Combination With Single Oral Dose AZD1775 Alone (Cohort 1a) or With IV Paclitaxel (Cohorts 1 & 2)|Plasma Concentration of Platinum at the End of Infusion (Ceoi) When Given as a 2 Hour Infusion in Combination With Oral AZD1775 and IV Paclitaxel.|Time to Peak Plasma Concentration of Platinum (Tmax) When Given as a 2 Hour Infusion in Combination With Oral AZD1775 and IV Paclitaxel.|Time to Last Detectable Concentration of Platinum (Tlast) When Given as a 2 Hour Infusion in Combination With Oral AZD1775 and IV Paclitaxel.","AstraZeneca","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 1","19","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D6011C00003","January 16, 2015","December 14, 2016","July 9, 2018","January 19, 2015","March 25, 2019","March 25, 2019","Research Site, Liverpool, Australia|Research Site, Melbourne, Australia|Research Site, Kashiwa, Japan|Research Site, Sapporo-shi, Japan|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02341456"
250,"NCT03803475","Gallium-68 PSMA-11 PET Imaging in Prostate Cancer Patients",,"Completed","Has Results","Prostate Cancer","Drug: Ga-68 labeled PSMA-11|Device: Positron emission tomography-computed tomography (PET/CT)|Device: Positron emission tomography-magnetic resonance imaging (PET/MRI)","Detection Rate of PSMA-11 PET for Positive Disease by Prostate Specific Antigen (PSA) Group|Detection Rate of PSMA-11 PET for Positive Disease in Prostate Bed by PSA Group|Detection Rate of PSMA-11 PET for Positive Disease in Pelvic Nodes by PSA Group|Detection Rate of PSMA-11 PET for Positive Disease in Distant Soft Tissues by PSA Group|Detection Rate of PSMA-11 PET for Positive Disease in Bones (Osseous Lesions) by PSA Group","Thomas Hope|University of California, San Francisco","Male","18 Years and older   (Adult, Older Adult)","Phase 3","485","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","185513|NCI-2019-01394","October 11, 2018","August 25, 2020","August 25, 2020","January 14, 2019","August 24, 2021","August 24, 2021","University of California, San Francisco, San Francisco, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03803475/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03803475"
251,"NCT02015065","Phase II Trial of Vandetanib in Children and Adults With Wild-Type Gastrointestinal Stromal Tumors",,"Completed","Has Results","GIST","Drug: Vandetanib","Number of Participants With a Clinical Activity-radiographic Response|Count of Participants With Serious and Non-serious Adverse Events|Percentage of Participants Overall Survival|Progression Free-Survival|Maximum Standardized Uptake Value (SUVmax) on Fluorodeoxyglucose Positron Emission Tomography (FDG-PET)","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","3 Years to 99 Years   (Child, Adult, Older Adult)","Phase 2","9","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","130208|13-C-0208","December 14, 2013","May 4, 2016","December 10, 2019","December 19, 2013","July 23, 2019","March 30, 2020","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT02015065/Prot_SAP_000.pdf|""Informed Consent Form: Standard consent"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT02015065/ICF_001.pdf|""Informed Consent Form: Parent QOL consent"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT02015065/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT02015065"
252,"NCT01287598","BAY73-4506 Probe Substrate Study",,"Completed","No Results Available","Neoplasms","Drug: Regorafenib (Stivarga, BAY73-4506)|Drug: Warfarin|Drug: Omeprazole|Drug: Midazolam|Drug: Rosiglitazone","Pharmacokinetics of probe substrates (AUC, Cmax, etc.)|Tumor Response evaluation measured by Response Evaluation Criteria in Solid Tumors (RECIST 1.1)|Adverse event collection","Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 1","41","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","12434","August 2, 2011","July 3, 2018","July 30, 2018","February 1, 2011",,"July 10, 2019","Cross Cancer Institute, Edmonton, Alberta, Canada|British Columbia Cancer Agency-Vancouver Centre, Vancouver, British Columbia, Canada|Juravinski Cancer Centre, Hamilton, Ontario, Canada|Sir Mortimer B. Davis Jewish General Hospital, Montreal, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT01287598"
